id,title,publishedAt,channelId,channelTitle,viewCount,channel_short_name,log_views
SwazWU-GnOA,OUR UNBORN SON...,2020-01-04T20:01:58Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,10459875,acefamily,7.019526494556628
Tx5VfR60TLA,LETTING THE PERSON IN FRONT OF US DECIDE WHAT WE EAT FOR 24 HOURS!!!,2019-06-07T03:07:57Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,22504791,acefamily,7.352274984038853
lpSUrHPxSsQ,IT'S BEEN OVER A YEAR... *EMOTIONAL*,2021-03-21T21:40:30Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,2969033,acefamily,6.472615024688754
lIe_NQlhmuY,WEARING A BUTT IMPLANT TO SEE HOW MY HUSBAND REACTS!!! **HILARIOUS**,2020-02-22T23:29:59Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,7524949,acefamily,6.876503560864734
5CTaJ2DlDe0,EXTREME 24 HOUR OVERNIGHT CHALLENGE!!! (SKY HIGH TRAMPOLINE PARK),2017-09-16T23:15:26Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,3624674,acefamily,6.559268952598681
XI9Sx528pk4,HUSBAND TRIES TO BE PREGNANT FOR THE DAY!!! **HILARIOUS**,2020-01-30T03:59:34Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,7047180,acefamily,6.8480153644458115
4KLqQ2IEb2Y,EXTREME FAMILY YOGA CHALLENGE!!! **HILARIOUS**,2022-12-05T02:18:03Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,783790,acefamily,5.894199718222814
wRYyFXLFkGc,MY WIFE CAN’T BELIEVE I DID THIS…**HILARIOUS**,2022-11-11T00:42:45Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,837710,acefamily,5.923093699779152
ZvAgUj_p31U,THIS IS WHAT REALLY HAPPENED!!! **OFFICIAL VIDEO**,2021-06-19T19:38:37Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,6814769,acefamily,6.833451139154462
EmRMojxX2f4,ELLE BABYSITS HER NEWBORN SISTER ALONE...YOU WON'T BELIEVE WHAT SHE DID!!! **HIDDEN CAMERA**,2018-12-06T03:15:05Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,15225456,acefamily,7.1825703085507655
kmgZGm18Xn0,HAIRCUT PRANK ON GIRLFRIEND!!! (GONE WRONG),2017-08-17T23:49:25Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,8175418,acefamily,6.912509966892264
Zt0SM_evnes,THE ACE FAMILY IS MOVING!!!,2017-01-07T03:57:00Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,1305954,acefamily,6.1159278799268035
paWPTGavBZw,THEY'RE OBSESSED WITH HIM...,2020-09-26T22:13:47Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,4638523,acefamily,6.666379714377131
9tRgUqdMqk4,BABY STUCK IN BALL PIT!!!,2017-05-27T18:34:31Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,3201512,acefamily,6.505355133998393
CRjSMbx3XAw,COMING HOME TO A SURPRISE!!!,2017-10-15T20:07:48Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,5854424,acefamily,6.767484172520744
mI6ysZt8xOg,BABY VS LEMON,2017-02-24T19:52:05Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,9999265,acefamily,6.999968078182439
wg2WRKEkI7w,SURPRISING OUR KIDS WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTIONS**,2020-12-22T00:00:43Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,3427462,acefamily,6.534972648499684
nRbuVaOlUhE,ELLE IS NOW MODELING!!!,2017-03-22T02:00:53Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,3813596,acefamily,6.581334683396949
oSQfrreuXRg,ELLE'S 4TH BIRTHDAY PARTY SPECIAL!,2020-05-29T00:17:25Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,9464160,acefamily,6.976082073814478
YhboA2oo8pw,TRANSFORMING MY SON INTO ME FOR THE DAY!!! **HILARIOUS FAMILY REACTION**,2021-04-17T19:06:52Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,3802273,acefamily,6.580043295627036
ey_yThwa9zs,THE ACE FAMILY CHRISTMAS SPECIAL 2022!!! **GOING TO DUBAI**,2022-12-28T02:59:18Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,995334,acefamily,5.997968839556375
kLCfnBuNS3w,THE ACE FAMILY BABY MOMMA DANCE! (TRYING TO GO INTO LABOR),2020-06-10T23:42:50Z,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,6764522,acefamily,6.830237113557926
