title_length,word_count,avg_word_length,caps_ratio,caps_word_count,exclamation_count,question_count,has_ellipsis,special_char_ratio,has_numbers,num_count,emoji_count,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,flesch_reading_ease,has_challenge,has_prank,has_surprise,has_emotional_word,has_family_word,has_child_word,has_first_person,has_clickbait_phrase,video_id
43,7,5.285714285714286,0.16666666666666666,0,0,0,False,0.023255813953488372,False,0,0,0.508,0.0,0.492,0.6335,59.745000000000005,True,False,False,False,False,True,False,False,m1WrpXybEWM
28,3,8.666666666666666,0.11538461538461539,0,0,0,False,0.0,False,0,0,0.394,0.0,0.606,0.0772,34.59000000000003,True,False,False,False,False,False,False,False,elmC_4tqp8I
39,6,5.666666666666667,0.14705882352941177,0,0,0,False,0.0,False,0,0,0.0,0.0,1.0,0.0,45.64500000000001,False,False,False,False,True,False,False,False,muoVLVZbf44
38,7,4.571428571428571,0.16129032258064516,0,0,0,False,0.02631578947368421,False,0,0,0.533,0.0,0.467,0.6908,73.84500000000001,False,False,False,False,False,True,False,False,dYZq4_zy25M
34,6,4.833333333333333,0.14814814814814814,0,1,0,False,0.058823529411764705,False,0,0,0.35,0.0,0.65,0.4003,66.40000000000003,False,False,False,False,False,True,False,False,w2mMi0alS5k
23,4,5.0,0.15789473684210525,0,1,0,False,0.043478260869565216,False,0,0,0.0,0.0,1.0,0.0,75.87500000000001,False,False,False,False,True,True,False,False,akW1bVBqwss
30,6,4.166666666666667,0.16666666666666666,0,0,0,False,0.03333333333333333,False,0,0,0.0,0.0,1.0,0.0,66.40000000000003,False,False,False,False,False,True,False,False,ResRoiCduPI
42,5,7.6,0.13513513513513514,0,1,0,False,0.023809523809523808,False,0,0,0.62,0.0,0.38,0.5983,-1.2799999999999727,False,False,False,False,False,False,False,False,HoUwwfPACF4
34,7,4.0,0.19230769230769232,0,1,0,False,0.058823529411764705,False,0,0,0.0,0.0,1.0,0.0,102.045,False,False,False,False,False,True,False,False,Lj9JZvkY19k
37,7,4.428571428571429,0.13333333333333333,0,0,0,False,0.0,True,1,0,0.286,0.0,0.714,0.34,54.70142857142861,False,False,False,False,False,True,False,False,0Fm8pxLA9eI
41,6,6.0,0.14705882352941177,0,1,0,False,0.04878048780487805,False,0,0,0.451,0.0,0.549,0.3164,49.48000000000002,True,False,False,False,False,True,False,False,EycprjLvUCk
47,8,5.0,0.1794871794871795,0,1,0,False,0.02127659574468085,False,0,0,0.339,0.0,0.661,0.5562,65.30000000000001,False,False,False,False,False,True,False,False,p0n3fE-PXWM
42,7,5.142857142857143,0.14285714285714285,0,1,0,False,0.023809523809523808,False,0,0,0.0,0.0,1.0,0.0,42.61571428571432,False,False,False,False,False,True,False,False,f8AdmWvxFyc
