id,title,channel_short_name,viewCount,publishedAt,channelId,description,duration_seconds,performative_labor_prob,emotional_bait_prob,narrative_conflict_prob,challenge_format_prob,commercial_content_prob,privacy_violation_prob,performative_labor_pred,emotional_bait_pred,narrative_conflict_pred,challenge_format_pred,commercial_content_pred,privacy_violation_pred,exploitation_score_ws,is_exploitative_ws,n_dimensions_flagged,confidence
SwazWU-GnOA,OUR UNBORN SON...,acefamily,10459875,2020-01-04T20:01:58Z,UCWwWOFsW68TqXE-HZLC3WIA,"Our unborn son...
JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAMILY

The Ace Family store: http://shopacefamily.com 

LAST VIDEO: https://www.youtube.com/watch?v=rgw_I9Z05No

*TURN ON OUR POST NOTIFICATIONS FOR SHOUTOUTS IN OUR VIDEOS*

***BUSINESS INQUIRIES : INFO.THEACEFAMILY@GMAIL.COM


MAKE SURE YOU LIKE, COMMENT, SHARE & SUBSCRIBE TO OUR YOUTUBE CHANNEL AND FOLLOW US ON OUR FAMILY ADVENTURES!

WATCH MORE VIDEOS!!! 

VLOGS: https://youtube.com/playlist?list=PLq...

PRANKS: https://youtube.com/playlist?list=PLq...

CHALLENGES: https://youtube.com/playlist?list=PLq...

POPULAR VIDEOS: https://youtube.com/playlist?list=PLq...

LATEST VIDEOS: https://youtube.com/playlist?list=PLq... 

STALK US :)

Catherine's Instagram: https://www.instagram.com/catherinepaiz/
Catherine's Twitter: http://twitter.com/catherinepaiz
Catherine's SnapChat: Catherinepaiz

Austin's Instagram: https://www.instagram.com/austinmcbroom/
Austin's Twitter: https://twitter.com/AustinMcbroom
Austin's SnapChat: TheRealMcBroom",929.0,0.6230728982934282,0.9998878271393702,0.5,0.5,0.5,0.5,1,1,-1,-1,-1,-1,0.603826787572133,1,2,0.2076535751442661
Tx5VfR60TLA,LETTING THE PERSON IN FRONT OF US DECIDE WHAT WE EAT FOR 24 HOURS!!!,acefamily,22504791,2019-06-07T03:07:57Z,UCWwWOFsW68TqXE-HZLC3WIA,"Letting the person in front of us decide what we eat for 24 hours!!!
JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAMILY

LINK TO PURCHASE TICKETS ON JUNE 1ST at 10am (PST): https://nam02.safelinks.protection.outlook.com/?url=http%3A%2F%2Faxs.com%2Fevents%2F376063%2Face-family-charity-basketball-tickets%3Fskin%3Dstaples&data=02%7C01%7Cccammack%40staplescenter.com%7C4554f02af4184104f6e308d6df01dc57%7Ccaece8130c4849238c628676bc93605f%7C0%7C0%7C636941596416195291&sdata=wqvNLzFWhS2j7pKZsZQ%2Fbb8jUGnCFa2FGk9GsncBcwU%3D&reserved=0

WATCH ACE FAMILY EVENT LIVE HERE: https://shopacefamily.com/pages/charity-basketball-live-stream

The Ace Family store: http://shopacefamily.com

LAST VIDEO: https://www.youtube.com/watch?v=ZnTiZAuTeA8

*TURN ON OUR POST NOTIFICATIONS FOR SHOUTOUTS IN OUR VIDEOS*

***BUSINESS INQUIRIES : INFO.THEACEFAMILY@GMAIL.COM

MAKE SURE YOU LIKE, COMMENT, SHARE & SUBSCRIBE TO OUR YOUTUBE CHANNEL AND FOLLOW US ON OUR FAMILY ADVENTURES!

WATCH MORE VIDEOS!!! 

VLOGS: https://youtube.com/playlist?list=PLq...

PRANKS: https://youtube.com/playlist?list=PLq...

CHALLENGES: https://youtube.com/playlist?list=PLq...

POPULAR VIDEOS: https://youtube.com/playlist?list=PLq...

LATEST VIDEOS: https://youtube.com/playlist?list=PLq... 

STALK US :)

Catherine's Instagram: https://www.instagram.com/catherinepaiz/
Catherine's Twitter: http://twitter.com/catherinepaiz
Catherine's SnapChat: Catherinepaiz

Austin's Instagram: https://www.instagram.com/austinmcbroom/
Austin's Twitter: https://twitter.com/AustinMcbroom
Austin's SnapChat: TheRealMcBroom

Elle's Instagram: https://www.instagram.com/elle/

Alaïa's Instagram: https://www.instagram.com/alaiamcbroom/

Business inquires: info.theacefamily@gmail.com",1401.0,0.9921630571042988,0.9200902369940572,0.5,0.9999999547515244,0.5,0.5,1,1,-1,1,-1,-1,0.7353755414749802,1,3,0.4707510829499601
lpSUrHPxSsQ,IT'S BEEN OVER A YEAR... *EMOTIONAL*,acefamily,2969033,2021-03-21T21:40:30Z,UCWwWOFsW68TqXE-HZLC3WIA,"IT'S BEEN OVER A YEAR... *EMOTIONAL*

**ACE FAMILY MERCH HERE: http://shopacefamily.com

LAST VIDEO: https://www.youtube.com/watch?v=ZpbZhfxmSTI

JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAMILY 

*TURN ON OUR POST NOTIFICATIONS FOR SHOUTOUTS IN OUR VIDEOS*

***BUSINESS INQUIRIES : INFO.THEACEFAMILY@GMAIL.COM

MAKE SURE YOU LIKE, COMMENT, SHARE & SUBSCRIBE TO OUR YOUTUBE CHANNEL AND FOLLOW US ON OUR FAMILY ADVENTURES!

WATCH MORE VIDEOS!!! 

VLOGS: https://youtube.com/playlist?list=PLq...

PRANKS: https://youtube.com/playlist?list=PLq...

CHALLENGES: https://youtube.com/playlist?list=PLq...

POPULAR VIDEOS: https://youtube.com/playlist?list=PLq...

LATEST VIDEOS: https://youtube.com/playlist?list=PLq... 

STALK US :)",971.0,0.6230728982934282,0.9999998331165134,0.5,0.5,0.5,0.5,1,1,-1,-1,-1,-1,0.6038454552349902,1,2,0.2076909104699805
lIe_NQlhmuY,WEARING A BUTT IMPLANT TO SEE HOW MY HUSBAND REACTS!!! **HILARIOUS**,acefamily,7524949,2020-02-22T23:29:59Z,UCWwWOFsW68TqXE-HZLC3WIA,"Wearing a butt implant to see how my husband reacts!!! **Hilarious**
DOWNLOAD ACE PLAY HERE: https://play.google.com/store/apps/details?id=com.jumpbuttonstudio.aceplay

JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAMILY

The Ace Family store: http://shopacefamily.com 

LAST VIDEO: https://www.youtube.com/watch?v=l3_sEhYBErw&t=3s

*TURN ON OUR POST NOTIFICATIONS FOR SHOUTOUTS IN OUR VIDEOS*

***BUSINESS INQUIRIES : INFO.THEACEFAMILY@GMAIL.COM


MAKE SURE YOU LIKE, COMMENT, SHARE & SUBSCRIBE TO OUR YOUTUBE CHANNEL AND FOLLOW US ON OUR FAMILY ADVENTURES!

WATCH MORE VIDEOS!!! 

VLOGS: https://youtube.com/playlist?list=PLq...

PRANKS: https://youtube.com/playlist?list=PLq...

CHALLENGES: https://youtube.com/playlist?list=PLq...

POPULAR VIDEOS: https://youtube.com/playlist?list=PLq...

LATEST VIDEOS: https://youtube.com/playlist?list=PLq... 

STALK US :)

Catherine's Instagram: https://www.instagram.com/catherinepaiz/
Catherine's Twitter: http://twitter.com/catherinepaiz
Catherine's SnapChat: Catherinepaiz

Austin's Instagram: https://www.instagram.com/austinmcbroom/
Austin's Twitter: https://twitter.com/AustinMcbroom
Austin's SnapChat: TheRealMcBroom",794.0,0.6230728982934282,0.9200902369940572,0.9996938539040278,0.5,0.5,0.5,1,1,1,-1,-1,-1,0.6738094981985855,1,3,0.347618996397171
5CTaJ2DlDe0,EXTREME 24 HOUR OVERNIGHT CHALLENGE!!! (SKY HIGH TRAMPOLINE PARK),acefamily,3624674,2017-09-16T23:15:26Z,UCWwWOFsW68TqXE-HZLC3WIA,"The most epic 24 hour overnight challenge...
JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAMILY

Video guy: Kalik Osborne (IG: Gxuvir)
Drone guy: Ricardo Padilla (IG: Rickproductions)

*TURN ON OUR POST NOTIFICATIONS FOR SHOUTOUTS IN OUR VIDEOS*

LAST VIDEO: https://www.youtube.com/watch?v=Kh9tbtnwkyQ

MAKE SURE YOU LIKE, COMMENT, SHARE & SUBSCRIBE TO OUR YOUTUBE CHANNEL AND FOLLOW US ON OUR FAMILY ADVENTURES!
 
The Ace Family store: http://shopacefamily.com

WATCH MORE VIDEOS!!! 

VLOGS: https://youtube.com/playlist?list=PLq26dmnCdXVnJpo_S0g6pqWjma4-yAgjS

PRANKS: https://youtube.com/playlist?list=PLq26dmnCdXVmy-QvIfsRtACk0_AiF_12a

CHALLENGES: https://youtube.com/playlist?list=PLq26dmnCdXVleAd9mR2oEbaRIIuKozMxB

POPULAR VIDEOS: https://youtube.com/playlist?list=PLq26dmnCdXVlBNzf0vIn28oMPT4yHL3cK

LATEST VIDEOS: https://youtube.com/playlist?list=PLq26dmnCdXVl56GGH5olXp6JRGBn4LUNc 

STALK US :)

Catherine's Instagram: https://www.instagram.com/catherinepaiz/
Catherine's Twitter: http://twitter.com/catherinepaiz
Catherine's SnapChat: Catherinepaiz

Austin's Instagram: https://www.instagram.com/austinmcbroom/
Austin's Twitter: https://twitter.com/AustinMcbroom
Austin's SnapChat: TheRealMcBroom

Business inquires: acefamily@theanecdotegroup.com",929.0,0.9921630571042988,0.9200902369940572,0.5,0.9999999547515244,0.5,0.5,1,1,-1,1,-1,-1,0.7353755414749802,1,3,0.4707510829499601
XI9Sx528pk4,HUSBAND TRIES TO BE PREGNANT FOR THE DAY!!! **HILARIOUS**,acefamily,7047180,2020-01-30T03:59:34Z,UCWwWOFsW68TqXE-HZLC3WIA,"One of the funniest videos we've ever filmed...
Austin tries to be pregnant for the day!!! **Hilarious**
JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAMILY

UP TO 80% OFF The Ace Family store: http://shopacefamily.com 

LAST VIDEO: https://www.youtube.com/watch?v=sNJwDC1XhVI&t=33s

*TURN ON OUR POST NOTIFICATIONS FOR SHOUTOUTS IN OUR VIDEOS*

***BUSINESS INQUIRIES : INFO.THEACEFAMILY@GMAIL.COM


MAKE SURE YOU LIKE, COMMENT, SHARE & SUBSCRIBE TO OUR YOUTUBE CHANNEL AND FOLLOW US ON OUR FAMILY ADVENTURES!

WATCH MORE VIDEOS!!! 

VLOGS: https://youtube.com/playlist?list=PLq...

PRANKS: https://youtube.com/playlist?list=PLq...

CHALLENGES: https://youtube.com/playlist?list=PLq...

POPULAR VIDEOS: https://youtube.com/playlist?list=PLq...

LATEST VIDEOS: https://youtube.com/playlist?list=PLq... 

STALK US :)

Catherine's Instagram: https://www.instagram.com/catherinepaiz/
Catherine's Twitter: http://twitter.com/catherinepaiz
Catherine's SnapChat: Catherinepaiz

Austin's Instagram: https://www.instagram.com/austinmcbroom/
Austin's Twitter: https://twitter.com/AustinMcbroom
Austin's SnapChat: TheRealMcBroom",1800.0,0.8478952779811204,0.9200902369940572,0.5,0.5,0.6701514611862515,0.5,1,1,-1,-1,1,-1,0.6563561626935716,1,3,0.312712325387143
4KLqQ2IEb2Y,EXTREME FAMILY YOGA CHALLENGE!!! **HILARIOUS**,acefamily,783790,2022-12-05T02:18:03Z,UCWwWOFsW68TqXE-HZLC3WIA,"EXTREME FAMILY YOGA CHALLENGE!!! **HILARIOUS**

LAST VIDEO: https://www.youtube.com/watch?v=yxl7CyaBqRg

JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAMILY 

*TURN ON OUR POST NOTIFICATIONS FOR SHOUTOUTS IN OUR VIDEOS*

***BUSINESS INQUIRIES : INFO.THEACEFAMILY@GMAIL.COM

MAKE SURE YOU LIKE, COMMENT, SHARE & SUBSCRIBE TO OUR YOUTUBE CHANNEL AND FOLLOW US ON OUR FAMILY ADVENTURES!

WATCH MORE VIDEOS!!! 

VLOGS: https://youtube.com/playlist?list=PLq...

PRANKS: https://youtube.com/playlist?list=PLq...

CHALLENGES: https://youtube.com/playlist?list=PLq...

POPULAR VIDEOS: https://youtube.com/playlist?list=PLq...

LATEST VIDEOS: https://youtube.com/playlist?list=PLq... 

STALK US :)

Catherine's Instagram: https://www.instagram.com/catherinepaiz/
Catherine's Twitter: http://twitter.com/catherinepaiz
Catherine's SnapChat: Catherinepaiz

Austin's Instagram: https://www.instagram.com/austinmcbroom/
Austin's Twitter: https://twitter.com/AustinMcbroom
Austin's SnapChat: TheRealMcBroom

Elle's Instagram: https://www.instagram.com/elle/",838.0,0.9921630571042988,0.9200902369940572,0.5,0.9999999547515244,0.5,0.5,1,1,-1,1,-1,-1,0.7353755414749802,1,3,0.4707510829499601
wRYyFXLFkGc,MY WIFE CAN’T BELIEVE I DID THIS…**HILARIOUS**,acefamily,837710,2022-11-11T00:42:45Z,UCWwWOFsW68TqXE-HZLC3WIA,"MY WIFE CAN’T BELIEVE I DID THIS…**HILARIOUS**

LAST VIDEO: https://www.youtube.com/watch?v=F_A_YpSrj54

JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAMILY 

*TURN ON OUR POST NOTIFICATIONS FOR SHOUTOUTS IN OUR VIDEOS*

***BUSINESS INQUIRIES : INFO.THEACEFAMILY@GMAIL.COM

MAKE SURE YOU LIKE, COMMENT, SHARE & SUBSCRIBE TO OUR YOUTUBE CHANNEL AND FOLLOW US ON OUR FAMILY ADVENTURES!

WATCH MORE VIDEOS!!! 

VLOGS: https://youtube.com/playlist?list=PLq...

PRANKS: https://youtube.com/playlist?list=PLq...

CHALLENGES: https://youtube.com/playlist?list=PLq...

POPULAR VIDEOS: https://youtube.com/playlist?list=PLq...

LATEST VIDEOS: https://youtube.com/playlist?list=PLq... 

STALK US :)

Catherine's Instagram: https://www.instagram.com/catherinepaiz/
Catherine's Twitter: http://twitter.com/catherinepaiz
Catherine's SnapChat: Catherinepaiz

Austin's Instagram: https://www.instagram.com/austinmcbroom/
Austin's Twitter: https://twitter.com/AustinMcbroom
Austin's SnapChat: TheRealMcBroom

Elle's Instagram: https://www.instagram.com/elle/",1086.0,0.6230728982934282,0.7650285271618831,0.9996938539040278,0.5,0.6701514611862515,0.5,1,1,1,-1,1,-1,0.6763244567575984,1,4,0.3526489135151968
ZvAgUj_p31U,THIS IS WHAT REALLY HAPPENED!!! **OFFICIAL VIDEO**,acefamily,6814769,2021-06-19T19:38:37Z,UCWwWOFsW68TqXE-HZLC3WIA,"THIS IS WHAT REALLY HAPPENED!!! **OFFICIAL VIDEO**

UPLOAD YOUR PPV TICKET RECEIPTS HERE: https://socialglovespromo.com

**ACE FAMILY MERCH HERE: shopacefamily.com

LAST VIDEO: https://www.youtube.com/watch?v=K5byY...

JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAMILY 

*TURN ON OUR POST NOTIFICATIONS FOR SHOUTOUTS IN OUR VIDEOS*

***BUSINESS INQUIRIES : INFO.THEACEFAMILY@GMAIL.COM

MAKE SURE YOU LIKE, COMMENT, SHARE & SUBSCRIBE TO OUR YOUTUBE CHANNEL AND FOLLOW US ON OUR FAMILY ADVENTURES!

WATCH MORE VIDEOS!!! 

VLOGS: https://youtube.com/playlist?list=PLq...

PRANKS: https://youtube.com/playlist?list=PLq...

CHALLENGES: https://youtube.com/playlist?list=PLq...

POPULAR VIDEOS: https://youtube.com/playlist?list=PLq...

LATEST VIDEOS: https://youtube.com/playlist?list=PLq... 

STALK US :)",1035.0,0.6230728982934282,0.9200902369940572,0.5,0.5,0.5,0.5,1,1,-1,-1,-1,-1,0.5905271892145809,1,2,0.1810543784291618
EmRMojxX2f4,ELLE BABYSITS HER NEWBORN SISTER ALONE...YOU WON'T BELIEVE WHAT SHE DID!!! **HIDDEN CAMERA**,acefamily,15225456,2018-12-06T03:15:05Z,UCWwWOFsW68TqXE-HZLC3WIA,"Elle babysits her newborn sister alone...you won't believe what she did!!! **Hidden camera**
JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAMILY

DOWNLOAD THE ACE FAMILY APP HERE FOR APPLE USERS: https://itunes.apple.com/us/app/the-ace-family/id1403570855?mt=8

DOWNLOAD THE ACE FAMILY APP HERE FOR GOOGLE PLAY USERS:
https://play.google.com/store/apps/details?id=co.tapcart.app.iRhCTMFYWP

The Ace Family store: http://shopacefamily.com

*TURN ON OUR POST NOTIFICATIONS FOR SHOUTOUTS IN OUR VIDEOS*

LAST VIDEO: https://www.youtube.com/watch?v=AubDAFcJoas

MAKE SURE YOU LIKE, COMMENT, SHARE & SUBSCRIBE TO OUR YOUTUBE CHANNEL AND FOLLOW US ON OUR FAMILY ADVENTURES!

WATCH MORE VIDEOS!!! 

VLOGS: https://youtube.com/playlist?list=PLq26dmnCdXVnJpo_S0g6pqWjma4-yAgjS

PRANKS: https://youtube.com/playlist?list=PLq26dmnCdXVmy-QvIfsRtACk0_AiF_12a

CHALLENGES: https://youtube.com/playlist?list=PLq26dmnCdXVleAd9mR2oEbaRIIuKozMxB

POPULAR VIDEOS: https://youtube.com/playlist?list=PLq26dmnCdXVlBNzf0vIn28oMPT4yHL3cK

LATEST VIDEOS: https://youtube.com/playlist?list=PLq26dmnCdXVl56GGH5olXp6JRGBn4LUNc 

STALK US :)

Catherine's Instagram: https://www.instagram.com/catherinepaiz/
Catherine's Twitter: http://twitter.com/catherinepaiz
Catherine's SnapChat: Catherinepaiz

Austin's Instagram: https://www.instagram.com/austinmcbroom/
Austin's Twitter: https://twitter.com/AustinMcbroom
Austin's SnapChat: TheRealMcBroom

Elle's Instagram: https://www.instagram.com/elle/

Alaïa's Instagram: https://www.instagram.com/alaiamcbroom/

Business inquires: info.theacefamily@gmail.com",937.0,0.6230728982934282,0.999968278431854,0.5482898249043969,0.5,0.6701514611862515,0.9999992639979268,1,1,1,-1,1,1,0.7235802878023095,1,5,0.4471605756046191
