dimension,lf_name,learned_weight
performative_labor,lf_llm_performative,0.6571345627307892
performative_labor,lf_vlm_performative_high,0.9618435841034761
performative_labor,lf_vlm_performative_med,0.9117305910511088
performative_labor,lf_scripted_keywords,0.8325535140501856
performative_labor,lf_organic_keywords,0.9766269066119224
performative_labor,lf_roleplay_title,0.667060373580549
performative_labor,lf_desc_scripted,0.6899320841666616
performative_labor,lf_duration_long,0.7212326138955065
emotional_bait,lf_llm_emotional,1.0
emotional_bait,lf_vlm_emotional,0.7218991925887192
emotional_bait,lf_emotional_caps,0.7708117107010743
emotional_bait,lf_emotional_punct,0.7665052922315654
emotional_bait,lf_emotional_keywords,1.0
emotional_bait,lf_emotional_emojis,1.0
narrative_conflict,lf_llm_narrative,1.0
narrative_conflict,lf_vlm_narrative,0.7669885971400915
narrative_conflict,lf_conflict_keywords,1.0
narrative_conflict,lf_prank_gone_wrong,1.0
narrative_conflict,lf_clickbait_patterns,0.5441047562769951
challenge_format,lf_llm_challenge,1.0
challenge_format,lf_vlm_challenge,0.8497620405184656
challenge_format,lf_challenge_keywords,1.0
challenge_format,lf_competition_format,0.9951519316929074
challenge_format,lf_duration_challenge,1.0
commercial_content,lf_llm_commercial,1.0
commercial_content,lf_vlm_commercial,0.7222629933081793
commercial_content,lf_commercial_title,0.9592960845220756
commercial_content,lf_commercial_desc,1.0
commercial_content,lf_commercial_tags,0.6914302401780527
privacy_violation,lf_llm_privacy,1.0
privacy_violation,lf_vlm_privacy,0.6622533242220252
privacy_violation,lf_privacy_keywords,1.0
privacy_violation,lf_privacy_medical_desc,1.0
