lf_name,weight,category
lf_challenge_keywords,1.0,Rule
lf_llm_challenge,1.0,LLM
lf_prank_keywords,0.9150111375993755,Rule
lf_organic_keywords,0.8371203247623046,Rule
lf_roleplay_keywords,0.8032264008819,Rule
lf_llm_narrative_conflict,0.7933333599294252,LLM
lf_urgency_words,0.7522795958683298,Rule
lf_emotional_keywords,0.7365659200288065,Rule
lf_llm_performative,0.7276901196577827,LLM
lf_cv_high_saturation,0.6672062057269642,CV/Vision
lf_exclamation_marks,0.6652394181285424,Rule
lf_llm_commercial,0.6608689903465668,LLM
lf_llm_emotional_bait,0.6222927618440623,LLM
lf_conflict_keywords,0.6220931531208341,Rule
lf_cv_vision_exploit,0.5286659748856237,CV/Vision
lf_all_caps_ratio,0.48317441977485526,Rule
lf_llm_privacy,0.4806674003528686,LLM
lf_cv_child_distress,0.43993610573532294,CV/Vision
