channel,uploads_per_week,uploads_per_month,interval_mean_hours,interval_median_hours,interval_std_hours,interval_cv,interval_min_hours,interval_max_hours,burst_ratio,weekend_ratio,dow_entropy,hour_mean,hour_std,evening_ratio,hour_entropy,upload_trend_slope,upload_trend_r2,holiday_upload_ratio,views_mean,views_median,views_std,views_cv,views_skew,views_max_ratio,like_view_ratio_mean,comment_view_ratio_mean,views_growth_ratio,title_length_mean,title_length_std,title_caps_ratio,title_exclaim_ratio,title_question_ratio,title_emoji_ratio,title_allcaps_ratio,title_number_ratio,title_emotional_ratio,title_word_count_mean,exploit_score_mean,exploit_score_std,exploit_score_max,high_exploit_ratio,total_videos,channel_age_days,category
3blue1brown,0.40344827586206894,1.7290640394088668,418.2398414401526,141.90222222222224,604.864055334771,1.4462133814224944,0.0,2786.599166666667,0.2145922746781116,0.33760683760683763,1.8653085743319964,13.461538461538462,6.204025360214785,0.42735042735042733,2.695271937680007,0.010463970872454768,0.02015233366659557,0.029914529914529916,3171403.8376068375,1748890.5,5286478.199594224,1.6669205406472092,7.134580375368425,19.982086560070627,0.03500714381299662,0.000906616840419575,0.7328181218056786,46.02564102564103,18.298414077231637,0.05348859232081103,0.008547008547008548,0.1452991452991453,0.0016870129694738806,0.0,0.3333333333333333,0.01282051282051282,7.5085470085470085,0.002426527672307693,0.06730384063245205,0.2378882,0.08547008547008547,234,4060,adult
acefamily,1.4521384928716905,6.223450683735816,115.88326466916354,63.75138888888889,835.9577106728335,7.213791508717145,20.015833333333333,22201.835,0.08426966292134831,0.2959326788218794,1.8992716678018957,10.663394109396915,9.536389102565344,0.9859747545582047,2.3861125348695453,-0.13730382130779045,0.5380423876307405,0.033660589060308554,6448260.09256662,5237782.0,4977244.073278142,0.7718739631820644,2.036645269287207,6.4039316664045325,0.045564466748293675,0.005359534083067731,0.7460535465162121,43.31276297335204,15.794379860961143,0.7412783475495003,0.7601683029453016,0.0729312762973352,0.0006482412604326114,0.9733520336605891,0.10659186535764376,0.21598877980364656,7.063113604488079,0.10042236557779805,0.09908960202373693,0.38789594,0.48106591865357645,713,3437,family
aliabdaal,2.6133586749932123,11.200108607113766,64.34244298884036,27.151666666666667,192.58503696799932,2.993125968210463,0.0002777777777777778,6590.139444444444,0.34497816593886466,0.23636363636363636,1.928185746855553,13.501090909090909,2.9748764073059464,0.08872727272727272,2.376517876971004,0.1902875213550943,0.47353660549596194,0.02618181818181818,392213.8327272727,113681.0,895143.2125120627,2.2822836366776076,7.232521409455491,35.49070134321163,0.04275806659115657,0.001172919350309866,0.26510281391120927,42.28581818181818,14.152904698096785,0.11934225890365179,0.008,0.08581818181818182,0.009741973184870361,0.0,0.3396363636363636,0.04363636363636364,7.848,-0.01804737770887891,0.07381991271473766,0.2928803,0.04872727272727273,1375,3683,adult
andymation,0.17778079587124812,0.7619176965910635,950.0887858422939,339.06388888888887,2732.670366423133,2.876226313944444,0.0008333333333333334,30221.735277777778,0.0913978494623656,0.42780748663101603,1.707312317205591,13.914438502673796,5.803517202025725,0.42780748663101603,2.765610288465323,0.008027785722768337,0.238501984182588,0.016042780748663103,5514051.368983957,492465.0,15986237.789787725,2.8991818755459686,5.8634646329443925,26.55196355687523,0.020245148852677693,0.0014287000258400035,0.20940961919542442,37.13368983957219,11.882411723000352,0.19142629166056316,0.03208556149732621,0.0481283422459893,0.00273288766761557,0.0,0.24598930481283424,0.09090909090909091,6.647058823529412,0.006471789682192513,0.06997227356058541,0.17521426,0.09090909090909091,187,7363,adult
besteverfoods,1.6603275224511356,7.115689381933439,101.31519013997274,95.74472222222222,68.01268402681197,0.6712979952250847,2.3761111111111113,795.5086111111111,0.11148272017837235,0.3897550111358575,1.739513663808722,11.367483296213809,4.168781694492002,0.15924276169265034,1.5448835817640847,0.03235023041474654,0.08076941756212183,0.030066815144766147,3516988.665924276,2323765.5,4074609.4232135275,1.1585506267597558,2.7194726245766256,10.524410089411687,0.01841861879348562,0.001084666039586853,0.6843742613926481,56.65590200445434,17.747286875391172,0.2162940950441194,0.9042316258351893,0.05902004454342984,0.007633079370027473,0.0033407572383073497,0.21046770601336304,0.17483296213808464,9.062360801781738,-0.030510236714494432,0.07432162535985838,0.24048752,0.051224944320712694,898,3786,adult
bonniehoellein,4.471264367816092,19.16256157635468,37.58888623561107,24.001666666666665,25.50047560662765,0.6784046605368406,0.0002777777777777778,528.0052777777778,0.3295371050698016,0.05875872199779655,1.7701464498865744,12.362835108336395,2.571784883025175,0.06536907822254866,1.764039232239109,0.0047476347446380384,0.0011312466817385773,0.027175908923980904,331138.5086301873,97267.0,1866250.4954186266,5.635860664888237,31.683953871543604,244.48984908129623,0.030724142037926238,0.0014890572479121058,0.1079613129220449,31.37385236871098,14.063143766486203,0.22925924914500798,0.24605214836577305,0.04737421961072347,0.0015297638861043927,0.022034520749173704,0.21006243114212267,0.04333455747337495,5.705104663973558,0.027402465356077852,0.09417515312465831,0.34930882,0.20308483290488433,2723,4263,family
bratayley,5.621505376344086,24.092165898617512,29.896838776204447,24.0,26.766003655916148,0.8952787234889797,0.09,416.56694444444446,0.39035591274397247,0.26702371843917366,1.940996931474579,12.547054322876818,10.748734336056886,0.9613618974751339,1.6397555839598699,0.07230843979536425,0.040636800230534016,0.02486610558530987,1570124.1985462892,700736.5,3281191.389667077,2.08976550562369,8.659132795710756,46.46238244563256,0.0304653149752459,0.0008667458280155523,1.0007436076454386,43.86151491966335,11.790359570372207,0.1504137636463117,0.2700841622035195,0.04399387911247131,0.004664694904762259,0.00038255547054322876,0.9785768936495792,0.05967865340474369,7.908186687069625,-0.011111078150550114,0.04661769936242857,0.19506203,0.016449885233358837,2614,3255,family
brentrivera,1.212144955925563,5.1949069539667,138.76239461431987,148.1988888888889,182.31945262692557,1.3138967018670253,0.5408333333333334,3721.481388888889,0.2015855039637599,0.5599547511312217,1.7693073639860897,14.531674208144796,7.637906385580712,0.8280542986425339,2.767209760256743,0.05018196911333717,0.18645414090950194,0.020361990950226245,14576332.345022624,7696084.5,23140710.67987072,1.5875537228521392,5.348075619765327,22.45548209606852,0.03505214958869454,0.0015835565876044777,1.8597676010020723,38.4920814479638,17.320865877797957,0.31836385316270943,0.4411764705882353,0.08144796380090498,0.05438229634953723,0.20475113122171945,0.17986425339366516,0.166289592760181,7.095022624434389,0.08871548738367081,0.08785131540442073,0.42887414,0.3993212669683258,884,5105,family
caseyneistat,1.335986452159187,5.7256562235393735,125.88024052693903,25.18125,475.71325403066174,3.7790939391226903,0.004722222222222222,11238.014722222222,0.34991119005328597,0.20141969831410825,1.923790066686682,14.798580301685892,3.9642359568478582,0.2963620230700976,2.5068188356606886,-0.027938629853210117,0.02790223403121908,0.012422360248447204,2881541.3114463175,2051646.0,4098062.0136235612,1.4221770818779764,10.274605354634467,27.962428537787456,0.029567076164911287,0.0024140306380632803,1.3477889451526137,26.75421472937001,11.557521501958696,0.389109019814105,0.12866015971606035,0.050576752440106475,0.0004099438042041569,0.290150842945874,0.14551907719609583,0.064773735581189,4.919254658385094,0.06677230945401066,0.07778163931639837,0.34739226,0.318544809228039,1127,5905,adult
cocomelon,1.9338255781554752,8.287823906380607,86.9219787812535,47.02569444444444,677.3887155822831,7.793065978019081,0.0,28105.358888888888,0.33148335015136227,0.21230458900655572,1.8044137189198135,8.21886031265759,2.6149664930918797,0.03832576903681291,1.4712294906855952,0.1276938105693692,0.6492555476946648,0.026727181038830056,111086290.98587997,17901536.0,396738912.65196484,3.571448007949008,11.78074302141188,79.34668866674447,0.00519233428178749,0.0,0.06361123935179037,65.0887544125063,15.337514260956526,0.15395160452622164,0.43519919314170447,0.05446293494704992,0.012321324998470587,0.0005042864346949068,0.07060010085728693,0.028240040342914774,11.419062027231467,0.036362482705318715,0.06816832053637606,0.296674,0.16994452849218356,1983,7178,family
